date,ticker,weight
2023-01-31,HPG,0.2521527748588881
2023-01-31,VIC,0.33457953587879374
2023-01-31,VNM,0.41326768926231816
2023-02-28,HPG,0.24807762647475887
2023-02-28,VIC,0.34161105685242615
2023-02-28,VNM,0.410311316672815
2023-03-31,HPG,0.2241824897476094
2023-03-31,VIC,0.38790875512619527
2023-03-31,VNM,0.38790875512619527
2023-04-28,HPG,0.22781210381679098
2023-04-28,VIC,0.3860939480916045
2023-04-28,VNM,0.3860939480916045
2023-05-31,HPG,0.3001957502983189
2023-05-31,VIC,0.314011566173905
2023-05-31,VNM,0.3857926835277761
2023-06-30,HPG,0.29966841640911074
2023-06-30,VIC,0.34025114322360506
2023-06-30,VNM,0.36008044036728415
2023-07-31,HPG,0.3319778624381649
2023-07-31,VIC,0.29819270816643795
2023-07-31,VNM,0.3698294293953971
2023-08-31,HPG,0.3794123194733653
2023-08-31,VIC,0.24012706490200364
2023-08-31,VNM,0.38046061562463096
2023-09-29,HPG,0.3833156889759794
2023-09-29,VIC,0.2205719676946527
2023-09-29,VNM,0.39611234332936784
2023-10-31,HPG,0.3526561096807854
2023-10-31,VIC,0.25004584642646116
2023-10-31,VNM,0.3972980438927534
2023-11-30,HPG,0.3192226813418291
2023-11-30,VIC,0.28175171039706876
2023-11-30,VNM,0.3990256082611021
